,id,task_id,user_id,mosquito_question_response,tiger_question_response,site_question_response,version_UUID,tiger_certainty_category,expert_id,site_certainty_category,photo,category_id
0,6,351,1,mosquito-yes,tiger-yes,site-no,32952E6C-5367-45AD-BEC5-054B9434DED5,0.0,25,,tigapics/952406d3-9835-4ae7-a765-04332dc51e56.jpg,9.0
1,6,351,1,mosquito-yes,tiger-yes,site-no,32952E6C-5367-45AD-BEC5-054B9434DED5,0.0,31,,tigapics/952406d3-9835-4ae7-a765-04332dc51e56.jpg,9.0
2,6,351,1,mosquito-yes,tiger-yes,site-no,32952E6C-5367-45AD-BEC5-054B9434DED5,1.0,18,,tigapics/952406d3-9835-4ae7-a765-04332dc51e56.jpg,4.0
3,6,351,1,mosquito-yes,tiger-yes,site-no,32952E6C-5367-45AD-BEC5-054B9434DED5,0.0,17,,tigapics/952406d3-9835-4ae7-a765-04332dc51e56.jpg,9.0
4,10,355,1,mosquito-yes,tiger-unknown,site-yes,df25af96-802a-4234-b948-1872bc555a9f,,24,,tigapics/e6950a19-4d77-4b67-80d0-a6ae3e589c77.jpg,
5,14,359,1,mosquito-unknown,undefined,site-no,169605b8-29a5-47cb-9b01-de7cb1b4e946,0.0,25,,tigapics/23ae7ddb-fbaa-4382-b0b4-4b4b3a550005.jpg,9.0
6,14,359,1,mosquito-unknown,undefined,site-no,169605b8-29a5-47cb-9b01-de7cb1b4e946,0.0,31,,tigapics/23ae7ddb-fbaa-4382-b0b4-4b4b3a550005.jpg,9.0
7,14,359,1,mosquito-unknown,undefined,site-no,169605b8-29a5-47cb-9b01-de7cb1b4e946,0.0,17,,tigapics/23ae7ddb-fbaa-4382-b0b4-4b4b3a550005.jpg,9.0
8,14,359,1,mosquito-unknown,undefined,site-no,169605b8-29a5-47cb-9b01-de7cb1b4e946,1.0,18,,tigapics/23ae7ddb-fbaa-4382-b0b4-4b4b3a550005.jpg,4.0
9,15,360,1,mosquito-yes,tiger-unknown,site-no,169605b8-29a5-47cb-9b01-de7cb1b4e946,0.0,25,,tigapics/564fae74-95f2-4936-9375-701ae1df84ca.jpg,9.0
10,15,360,1,mosquito-yes,tiger-unknown,site-no,169605b8-29a5-47cb-9b01-de7cb1b4e946,0.0,31,,tigapics/564fae74-95f2-4936-9375-701ae1df84ca.jpg,9.0
11,15,360,1,mosquito-yes,tiger-unknown,site-no,169605b8-29a5-47cb-9b01-de7cb1b4e946,0.0,17,,tigapics/564fae74-95f2-4936-9375-701ae1df84ca.jpg,9.0
12,15,360,1,mosquito-yes,tiger-unknown,site-no,169605b8-29a5-47cb-9b01-de7cb1b4e946,1.0,18,,tigapics/564fae74-95f2-4936-9375-701ae1df84ca.jpg,4.0
13,16,361,1,mosquito-yes,tiger-unknown,site-no,169605b8-29a5-47cb-9b01-de7cb1b4e946,0.0,25,,tigapics/2b51a1cc-7562-4fe4-bd78-89e762fd02c2.jpg,9.0
14,16,361,1,mosquito-yes,tiger-unknown,site-no,169605b8-29a5-47cb-9b01-de7cb1b4e946,0.0,31,,tigapics/2b51a1cc-7562-4fe4-bd78-89e762fd02c2.jpg,9.0
15,16,361,1,mosquito-yes,tiger-unknown,site-no,169605b8-29a5-47cb-9b01-de7cb1b4e946,0.0,17,,tigapics/2b51a1cc-7562-4fe4-bd78-89e762fd02c2.jpg,9.0
16,16,361,1,mosquito-yes,tiger-unknown,site-no,169605b8-29a5-47cb-9b01-de7cb1b4e946,1.0,18,,tigapics/2b51a1cc-7562-4fe4-bd78-89e762fd02c2.jpg,4.0
17,17,362,1,mosquito-yes,tiger-yes,site-no,d82e2514-3515-4d5b-96c5-d1dd7d0a7bfd,,25,,tigapics/3f5c0f87-92b3-4e82-a5aa-b661be3a7731.jpg,
